Date,Open,High,Low,Close,Volume
2016-12-21 10:43:00,5643.91,5644.49,5643.9,5643.98,10.054
2016-12-21 10:44:00,5643.47,5643.8,5642.33,5642.46,49.89
2016-12-21 10:45:00,5642.7,5644.8,5642.35,5644.47,23.921
2016-12-21 10:46:00,5644.8,5645.38,5644.05,5644.41,16.39
2016-12-21 10:47:00,5643.88,5644.25,5643.67,5644.0,32.39
2016-12-21 10:48:00,5644.77,5644.77,5644.43,5644.43,12.637
2016-12-21 10:49:00,5644.43,5644.43,5644.43,5644.43,0.0
2016-12-21 10:50:00,5644.43,5644.43,5644.43,5644.43,0.0
2016-12-21 10:51:00,5644.43,5644.43,5644.43,5644.43,0.0
2016-12-21 10:52:00,5644.43,5644.43,5644.43,5644.43,0.0
2016-12-21 10:53:00,5644.43,5644.43,5644.43,5644.43,0.0
2016-12-21 10:54:00,5644.43,5644.43,5644.43,5644.43,0.0
2016-12-21 10:55:00,5644.43,5644.43,5644.43,5644.43,0.0
2016-12-21 10:56:00,5644.43,5644.43,5644.43,5644.43,0.0
2016-12-21 10:57:00,5644.43,5644.43,5644.43,5644.43,0.0
2016-12-21 10:58:00,5644.43,5644.43,5644.43,5644.43,0.0
2016-12-21 10:59:00,5644.71,5645.04,5644.08,5644.32,8.238
2016-12-21 11:00:00,5644.24,5644.61,5643.23,5644.61,58.716
2016-12-21 11:01:00,5643.37,5644.46,5642.8,5644.01,27.17
2016-12-21 11:02:00,5643.92,5645.19,5643.33,5645.12,29.186
2016-12-21 11:03:00,5645.24,5645.56,5645.01,5645.44,17.451
2016-12-21 11:04:00,5645.9,5648.52,5645.5,5647.47,30.116
2016-12-21 11:05:00,5648.25,5648.99,5648.13,5648.98,47.304
2016-12-21 11:06:00,5657.12,5659.74,5656.93,5658.69,31.524
2016-12-21 11:07:00,5663.57,5663.83,5652.73,5652.93,27.954
2016-12-21 11:08:00,5655.0,5655.0,5649.51,5649.51,55.343
2016-12-21 11:09:00,5651.97,5653.07,5651.8,5652.84,43.63
2016-12-21 11:10:00,5653.86,5653.98,5652.44,5652.88,33.16
2016-12-21 11:11:00,5653.0,5654.99,5652.92,5654.02,38.487
2016-12-21 11:12:00,5654.44,5654.62,5654.31,5654.52,18.104
2016-12-21 11:13:00,5654.52,5654.52,5654.52,5654.52,0.0
2016-12-21 11:14:00,5649.83,5649.83,5649.0,5649.0,10.89
2016-12-21 11:15:00,5651.42,5651.83,5650.88,5650.88,50.317
2016-12-21 11:16:00,5651.52,5652.63,5651.42,5652.45,24.055
2016-12-21 11:17:00,5651.31,5652.06,5651.28,5651.71,20.708
2016-12-21 11:18:00,5652.11,5652.43,5650.83,5652.34,17.749
2016-12-21 11:19:00,5653.0,5653.0,5651.91,5652.46,62.637
2016-12-21 11:20:00,5652.71,5653.15,5651.95,5653.03,30.83
2016-12-21 11:21:00,5653.79,5655.99,5653.62,5655.68,35.973
